City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Verkhovazhye,RU,2021-03-27 18:25:37,60.7472,42.0465,22.98,98,42,1.3
1,Avarua,CK,2021-03-27 18:29:05,-21.2078,-159.775,80.6,83,90,11.5
2,Kosa,RU,2021-03-27 18:29:05,59.9445,54.9977,19.94,94,9,5.08
3,Busselton,AU,2021-03-27 18:29:05,-33.65,115.3333,55.99,92,18,8.3
4,Cartagena,CO,2021-03-27 18:29:06,10.3997,-75.5144,89.6,58,40,16.11
5,Gazojak,TM,2021-03-27 18:29:06,41.1875,61.4036,56.26,40,64,9.86
6,Tasiilaq,GL,2021-03-27 18:29:06,65.6145,-37.6368,15.8,57,90,26.46
7,Hilo,US,2021-03-27 18:26:10,19.7297,-155.09,73.4,60,40,5.75
8,Myanaung,MM,2021-03-27 18:29:07,18.2833,95.3167,83.53,32,17,2.35
9,Kapaa,US,2021-03-27 18:25:55,22.0752,-159.319,73.4,83,40,13.8
10,Raudeberg,NO,2021-03-27 18:29:07,61.9875,5.1352,39.0,93,72,12.08
11,Churapcha,RU,2021-03-27 18:29:08,62.0025,132.4325,17.06,97,100,2.21
12,Maragogi,BR,2021-03-27 18:29:08,-9.0122,-35.2225,82.44,70,72,9.28
13,Arraial Do Cabo,BR,2021-03-27 18:25:44,-22.9661,-42.0278,93.2,70,0,16.11
14,Matagami,CA,2021-03-27 18:29:08,49.7502,-77.6328,33.8,34,1,4.61
15,Upata,VE,2021-03-27 18:29:09,8.0086,-62.3989,84.33,48,95,8.37
16,Mahebourg,MU,2021-03-27 18:22:19,-20.4081,57.7,75.2,94,75,6.91
17,Albany,US,2021-03-27 18:26:45,42.6001,-73.9662,57.99,41,29,3.0
18,Kasulu,TZ,2021-03-27 18:29:09,-4.5767,30.1025,77.0,83,40,0.78
19,Port Alfred,ZA,2021-03-27 18:25:52,-33.5906,26.891,67.24,72,19,19.39
20,Antalaha,MG,2021-03-27 18:29:10,-14.9003,50.2788,77.43,90,99,5.28
21,Butaritari,KI,2021-03-27 18:22:16,3.0707,172.7902,81.16,78,96,13.78
22,Mataura,NZ,2021-03-27 18:25:49,-46.1927,168.8643,55.99,93,60,1.97
23,Punta Arenas,CL,2021-03-27 18:25:48,-53.15,-70.9167,66.2,48,40,20.71
24,Hithadhoo,MV,2021-03-27 18:25:45,-0.6,73.0833,84.25,70,96,13.44
25,Atuona,PF,2021-03-27 18:25:44,-9.8,-139.0333,80.33,79,79,20.15
26,Tiksi,RU,2021-03-27 18:21:03,71.6872,128.8694,7.02,98,100,0.45
27,La Rioja,ES,2021-03-27 18:29:11,42.25,-2.5,60.8,48,0,6.91
28,Bredasdorp,ZA,2021-03-27 18:25:00,-34.5322,20.0403,62.6,59,91,2.3
29,Pangoa,PE,2021-03-27 18:29:11,-12.1167,-73.0,85.93,53,35,4.05
30,Birao,CF,2021-03-27 18:29:11,10.2849,22.7882,87.1,11,38,7.94
31,Cape Town,ZA,2021-03-27 18:24:41,-33.9258,18.4232,64.99,67,0,14.97
32,Cam Ranh,VN,2021-03-27 18:29:12,11.9214,109.1591,75.2,94,20,2.3
33,Kodiak,US,2021-03-27 18:22:44,57.79,-152.4072,32.0,43,1,18.41
34,Ostersund,SE,2021-03-27 18:29:12,63.1792,14.6357,36.0,93,90,10.36
35,Tuktoyaktuk,CA,2021-03-27 18:22:22,69.4541,-133.0374,-22.0,76,90,3.44
36,Thompson,CA,2021-03-27 18:26:00,55.7435,-97.8558,21.2,58,75,13.8
37,Barrow,US,2021-03-27 18:26:20,71.2906,-156.7887,-16.6,91,1,3.44
38,Minsk Mazowiecki,PL,2021-03-27 18:29:13,52.1794,21.5725,50.0,76,97,13.82
39,Aksu,CN,2021-03-27 18:26:58,41.1231,80.2644,57.9,36,38,7.74
40,Palia Kalan,IN,2021-03-27 18:29:13,28.45,80.5833,73.51,16,0,3.98
41,Rikitea,PF,2021-03-27 18:29:14,-23.1203,-134.9692,79.12,72,19,20.09
42,Hermanus,ZA,2021-03-27 18:20:59,-34.4187,19.2345,62.01,73,58,12.24
43,Tura,IN,2021-03-27 18:26:08,25.5198,90.2201,71.78,15,0,3.58
44,Manyana,BW,2021-03-27 18:29:14,-23.4,21.7167,73.26,36,0,8.28
45,Chokurdakh,RU,2021-03-27 18:29:15,70.6333,147.9167,-4.85,90,99,5.32
46,Komsomolskiy,UZ,2021-03-27 18:29:15,40.4272,71.7189,55.4,82,100,6.91
47,Puerto Ayora,EC,2021-03-27 18:22:24,-0.7393,-90.3518,82.4,74,20,11.5
48,Upernavik,GL,2021-03-27 18:26:26,72.7868,-56.1549,-22.04,76,3,4.45
49,Qaanaaq,GL,2021-03-27 18:23:10,77.484,-69.3632,-6.84,75,100,3.85
50,Kahului,US,2021-03-27 18:24:21,20.8947,-156.47,75.2,83,20,8.05
51,Mayo,US,2021-03-27 18:26:20,38.8876,-76.5119,68.0,63,1,11.5
52,Isangel,VU,2021-03-27 18:29:17,-19.55,169.2667,76.96,88,7,7.74
53,Najran,SA,2021-03-27 18:29:17,17.4924,44.1277,80.6,12,0,4.61
54,Kruisfontein,ZA,2021-03-27 18:26:16,-34.0033,24.7314,64.0,70,16,3.0
55,Nouadhibou,MR,2021-03-27 18:29:18,20.931,-17.0347,68.0,77,0,20.71
56,Aasiaat,GL,2021-03-27 18:24:53,68.7098,-52.8699,-17.09,88,72,5.91
57,Omboue,GA,2021-03-27 18:25:21,-1.5746,9.2618,79.25,86,89,7.14
58,Ostrovnoy,RU,2021-03-27 18:21:09,68.0531,39.5131,33.08,82,76,25.01
59,Hobyo,SO,2021-03-27 18:26:31,5.3505,48.5268,80.82,77,19,15.14
60,Gambo,CF,2021-03-27 18:29:19,4.6482,22.2633,76.73,65,37,4.23
61,Iracoubo,GF,2021-03-27 18:29:19,5.4802,-53.2011,80.8,78,61,9.84
62,Saint-Philippe,RE,2021-03-27 18:23:03,-21.3585,55.7679,77.0,94,0,3.44
63,Klyuchi,RU,2021-03-27 18:29:19,52.2667,79.1667,34.3,93,100,11.39
64,Bluff,NZ,2021-03-27 18:26:05,-46.6,168.3333,55.99,93,88,1.03
65,Denpasar,ID,2021-03-27 18:26:45,-8.65,115.2167,82.4,89,40,3.44
